epoch,acc,bal_acc,auc,prec,rec,f1,loss,ppv,npv,tp,fp,tn,fn
20,0.8282608985900879,0.82585209608078,0.9060972929000854,0.7526408433914185,0.8158397078514099,0.7829670906066895,0.4752933382987976,0.7526408450704225,0.8811576354679803,855.0,281.0,1431.0,193.0
21,0.8300724625587463,0.8269422650337219,0.9069828987121582,0.7568766474723816,0.8139312863349915,0.7843677997589111,0.47318241000175476,0.7568766637089619,0.8805878750765462,853.0,274.0,1438.0,195.0
22,0.8297101259231567,0.8283156156539917,0.9077693223953247,0.7521815299987793,0.822519063949585,0.7857794165611267,0.4706783592700958,0.7521815008726004,0.8847583643122676,862.0,284.0,1428.0,186.0
23,0.8329710364341736,0.8302039504051208,0.9085385203361511,0.7599645853042603,0.8187022805213928,0.7882406711578369,0.4691319763660431,0.7599645704162976,0.8835070508890251,858.0,271.0,1441.0,190.0
24,0.8322463631629944,0.83017498254776,0.9092240929603577,0.7572559118270874,0.8215649127960205,0.7881006598472595,0.466842919588089,0.7572559366754618,0.884781269254467,861.0,276.0,1436.0,187.0
25,0.8344202637672424,0.8330375552177429,0.9098254442214966,0.7585301995277405,0.8272900581359863,0.7914194464683533,0.4650670289993286,0.7585301837270341,0.8880643166357453,867.0,276.0,1436.0,181.0
26,0.8362318873405457,0.8330174684524536,0.9106118679046631,0.7655971646308899,0.819656491279602,0.7917050719261169,0.4634454548358917,0.7655971479500892,0.8846153846153846,859.0,263.0,1449.0,189.0
27,0.8355072736740112,0.8324333429336548,0.9111090898513794,0.7642349004745483,0.819656491279602,0.7909761071205139,0.46192261576652527,0.7642348754448398,0.8844743276283619,859.0,265.0,1447.0,189.0
28,0.8369565010070801,0.83378666639328,0.9116156697273254,0.7664884328842163,0.8206107020378113,0.7926267981529236,0.46076077222824097,0.7664884135472371,0.8852258852258852,860.0,262.0,1450.0,188.0
29,0.8373188376426697,0.834263801574707,0.9119969010353088,0.7666963338851929,0.8215649127960205,0.7931828498840332,0.45928382873535156,0.7666963490650045,0.885766646304215,861.0,262.0,1450.0,187.0
30,0.8369565010070801,0.83378666639328,0.9124751687049866,0.7664884328842163,0.8206107020378113,0.7926267981529236,0.4579841196537018,0.7664884135472371,0.8852258852258852,860.0,262.0,1450.0,188.0
31,0.8380434513092041,0.8346627950668335,0.9129249453544617,0.7685433626174927,0.8206107020378113,0.7937240600585938,0.45704129338264465,0.7685433422698839,0.8854357099329677,860.0,259.0,1453.0,188.0
32,0.8380434513092041,0.8350329399108887,0.9133602380752563,0.7675868272781372,0.822519063949585,0.7941040992736816,0.45559075474739075,0.767586821015138,0.8863775198533903,862.0,261.0,1451.0,186.0
33,0.8394927382469177,0.836016058921814,0.9137352705001831,0.7708146572113037,0.8215649127960205,0.7953810095787048,0.4546087384223938,0.7708146821844225,0.8861838101034692,861.0,256.0,1456.0,187.0
34,0.8398550748825073,0.8374184370040894,0.914129376411438,0.7686170339584351,0.8272900581359863,0.7968749403953552,0.4532009959220886,0.7686170212765957,0.8890931372549019,867.0,261.0,1451.0,181.0
35,0.8409420251846313,0.8379244804382324,0.9144699573516846,0.7716324925422668,0.8253816962242126,0.797602653503418,0.45256859064102173,0.7716324710080286,0.888346552776083,865.0,256.0,1456.0,183.0
36,0.8405796885490417,0.8372623324394226,0.9147497415542603,0.7719141244888306,0.8234732747077942,0.7968605160713196,0.4518515169620514,0.7719141323792487,0.8873325213154689,863.0,255.0,1457.0,185.0
37,0.8431159257888794,0.8385665416717529,0.9151298403739929,0.7787851095199585,0.819656491279602,0.7986982464790344,0.45174217224121094,0.7787851314596554,0.8859384429692215,859.0,244.0,1468.0,189.0
38,0.8405796885490417,0.8380025029182434,0.9153951406478882,0.7699822187423706,0.8272900581359863,0.7976080775260925,0.44994473457336426,0.7699822380106572,0.8892288861689106,867.0,259.0,1453.0,181.0
39,0.8427536487579346,0.8391997218132019,0.9157763719558716,0.7755835056304932,0.8244274854660034,0.7992599606513977,0.44928890466690063,0.7755834829443446,0.8882138517618469,864.0,250.0,1462.0,184.0
40,0.8431159257888794,0.8394917845726013,0.9160528182983398,0.7762803435325623,0.8244274854660034,0.7996298670768738,0.4487026333808899,0.7762803234501348,0.8882817243472981,864.0,249.0,1463.0,184.0
41,0.8438405990600586,0.8398908376693726,0.9162557125091553,0.7781785130500793,0.8234732747077942,0.8001854419708252,0.4485507309436798,0.7781785392245266,0.887946698970321,863.0,246.0,1466.0,185.0
42,0.8442028760910034,0.8399978876113892,0.9165137410163879,0.7793851494789124,0.822519063949585,0.8003714084625244,0.4484056830406189,0.779385171790235,0.8875453446191052,862.0,244.0,1468.0,186.0
43,0.8442028760910034,0.8398128747940063,0.9167556762695312,0.779891312122345,0.8215649127960205,0.8001859188079834,0.44788801670074463,0.779891304347826,0.8870772946859904,861.0,243.0,1469.0,187.0
44,0.844565212726593,0.8412151336669922,0.917034387588501,0.7775784730911255,0.8272900581359863,0.8016643524169922,0.44651976227760315,0.7775784753363228,0.8899696048632219,867.0,248.0,1464.0,181.0
45,0.8438405990600586,0.8400758504867554,0.91731858253479,0.7776777744293213,0.8244274854660034,0.8003705143928528,0.4458543062210083,0.7776777677767777,0.8884172225591267,864.0,247.0,1465.0,184.0
46,0.844565212726593,0.8408450484275818,0.9175443053245544,0.7785778641700745,0.8253816962242126,0.8012968897819519,0.4453986585140228,0.7785778577857786,0.8890236506973923,865.0,246.0,1466.0,183.0
47,0.8442028760910034,0.8409230709075928,0.9177912473678589,0.7768816947937012,0.8272900581359863,0.8012939095497131,0.4444858133792877,0.7768817204301075,0.8899026763990268,867.0,249.0,1463.0,181.0
48,0.8442028760910034,0.8405529856681824,0.9178870916366577,0.777877688407898,0.8253816962242126,0.8009259700775146,0.44474661350250244,0.7778776978417267,0.8889563106796117,865.0,247.0,1465.0,183.0
49,0.8438405990600586,0.8400758504867554,0.9181128144264221,0.7776777744293213,0.8244274854660034,0.8003705143928528,0.4445711672306061,0.7776777677767777,0.8884172225591267,864.0,247.0,1465.0,184.0
50,0.844565212726593,0.840104877948761,0.9183335304260254,0.7805983424186707,0.8215649127960205,0.8005577921867371,0.44467535614967346,0.7805983680870353,0.8871454435727217,861.0,242.0,1470.0,187.0
51,0.8427536487579346,0.8393847942352295,0.9185893535614014,0.7750896215438843,0.8253816962242126,0.7994455099105835,0.44346120953559875,0.775089605734767,0.8886861313868614,865.0,251.0,1461.0,183.0
52,0.843478262424469,0.840338945388794,0.9187214970588684,0.7754919528961182,0.8272900581359863,0.8005540370941162,0.4427577555179596,0.7754919499105546,0.889768574908648,867.0,251.0,1461.0,181.0
53,0.8438405990600586,0.8402609825134277,0.9188491106033325,0.7771788239479065,0.8253816962242126,0.8005553483963013,0.44316819310188293,0.7771787960467206,0.8888888888888888,865.0,248.0,1464.0,183.0
54,0.844565212726593,0.841400146484375,0.9190965890884399,0.7770814895629883,0.8282442688941956,0.8018475770950317,0.4420624375343323,0.7770814682184423,0.8904443091905052,868.0,249.0,1463.0,180.0
55,0.8471014499664307,0.8423342704772949,0.9191946983337402,0.7850637435913086,0.822519063949585,0.8033550977706909,0.4435499310493469,0.785063752276867,0.8880866425992779,862.0,236.0,1476.0,186.0
56,0.8463768362998962,0.8413801193237305,0.9193451404571533,0.7846715450286865,0.8206107020378113,0.8022388219833374,0.44343286752700806,0.7846715328467153,0.8870192307692307,860.0,236.0,1476.0,188.0
57,0.8471014499664307,0.8419642448425293,0.919603168964386,0.7861060500144958,0.8206107020378113,0.8029879331588745,0.44283434748649597,0.7861060329067642,0.8871548619447779,860.0,234.0,1478.0,188.0
58,0.8467391133308411,0.8438926935195923,0.9198780059814453,0.7792671918869019,0.8320610523223877,0.8047991991043091,0.44100335240364075,0.7792672028596962,0.8927483241925656,872.0,247.0,1465.0,176.0
59,0.8485507369041443,0.8427623510360718,0.9199783205986023,0.7900552749633789,0.8187022805213928,0.8041237592697144,0.4437370002269745,0.7900552486187845,0.8864994026284349,858.0,228.0,1484.0,190.0
60,0.8449275493621826,0.8413221836090088,0.9201672673225403,0.778777003288269,0.8263359069824219,0.8018518686294556,0.44111576676368713,0.7787769784172662,0.8895631067961165,866.0,246.0,1466.0,182.0
61,0.8463768362998962,0.8424903750419617,0.9201967716217041,0.7815884351730347,0.8263359069824219,0.8033395409584045,0.44107845425605774,0.7815884476534296,0.8898305084745762,866.0,242.0,1470.0,182.0
62,0.845652163028717,0.842461347579956,0.920291543006897,0.7786738276481628,0.8291984796524048,0.8031423687934875,0.44075751304626465,0.7786738351254481,0.8911192214111923,869.0,247.0,1465.0,179.0
63,0.8467391133308411,0.8424123525619507,0.9204525947570801,0.7833182215690613,0.8244274854660034,0.8033473491668701,0.4416320025920868,0.7833182230281052,0.8889559444779722,864.0,239.0,1473.0,184.0
