epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
13,0.4929356276988983,0.5602784156799316,0.5891209840774536,0.147568017244339,0.6497277617454529,0.4708290994167328,0.24051058292388916,0.0,0.147568017244339,0.9050664305686951,358.0,2068.0,1840.0,193.0,13.0
14,0.5019062757492065,0.5599396228790283,0.5905665159225464,0.14797639846801758,0.6370235681533813,0.4828556776046753,0.24016422033309937,0.0,0.14797639846801758,0.9041686654090881,351.0,2021.0,1887.0,200.0,14.0
15,0.6068625450134277,0.5722674131393433,0.5966840386390686,0.16273850202560425,0.5263158082962036,0.6182190179824829,0.24860696494579315,0.0,0.16273850202560425,0.9025027751922607,290.0,1492.0,2416.0,261.0,15.0
16,0.5795021057128906,0.5730278491973877,0.5999062061309814,0.1598149985074997,0.5644283294677734,0.5816274285316467,0.24909891188144684,0.0,0.1598149985074997,0.9044966101646423,311.0,1635.0,2273.0,240.0,16.0
17,0.5559542775154114,0.5728453397750854,0.6030830144882202,0.15731415152549744,0.5952813029289246,0.5504094362258911,0.24886195361614227,0.0,0.15731415152549744,0.9060657024383545,328.0,1757.0,2151.0,223.0,17.0
18,0.5597667694091797,0.5734614133834839,0.6072001457214355,0.15794573724269867,0.5916515588760376,0.5552712678909302,0.2493307739496231,0.0,0.15794573724269867,0.9060542583465576,326.0,1738.0,2170.0,225.0,18.0
19,0.5350975394248962,0.5695211887359619,0.6087442636489868,0.15409091114997864,0.61524498462677,0.523797333240509,0.2464558482170105,0.0,0.15409091114997864,0.90615314245224,339.0,1861.0,2047.0,212.0,19.0
20,0.555057168006897,0.58012855052948,0.6099721789360046,0.16026553511619568,0.6134301424026489,0.5468270182609558,0.2541353404521942,0.0,0.16026553511619568,0.9093616604804993,338.0,1771.0,2137.0,213.0,20.0
21,0.535546064376831,0.571336030960083,0.6130205392837524,0.15485921502113342,0.6188747882843018,0.523797333240509,0.24772976338863373,0.0,0.15485921502113342,0.906956136226654,341.0,1861.0,2047.0,210.0,21.0
22,0.5606638193130493,0.5770911574363708,0.6139326095581055,0.1595744639635086,0.5989110469818115,0.5552712678909302,0.25200456380844116,0.0,0.1595744639635086,0.9075700640678406,330.0,1738.0,2170.0,221.0,22.0
23,0.5741197466850281,0.5769727230072021,0.6152951717376709,0.16096580028533936,0.5807622671127319,0.5731832385063171,0.2520677447319031,0.0,0.16096580028533936,0.9065155982971191,320.0,1668.0,2240.0,231.0,23.0
24,0.5651491284370422,0.578091025352478,0.6154693365097046,0.1604696661233902,0.5952813029289246,0.5609006881713867,0.2527938485145569,0.0,0.1604696661233902,0.9076604843139648,328.0,1716.0,2192.0,223.0,24.0
25,0.6126934289932251,0.5833889245986938,0.6188796758651733,0.1689189225435257,0.5444645881652832,0.6223132014274597,0.2578427195549011,0.0,0.1689189225435257,0.9064480662345886,300.0,1476.0,2432.0,251.0,25.0
26,0.6938775181770325,0.5821547508239746,0.6196805238723755,0.18498452007770538,0.4337567985057831,0.7305527329444885,0.2593597173690796,0.0,0.18498452007770538,0.9014840722084045,239.0,1053.0,2855.0,312.0,26.0
27,0.6295133233070374,0.5828511714935303,0.6189602613449097,0.17134328186511993,0.5208711624145508,0.644831120967865,0.2578616440296173,0.0,0.17134328186511993,0.9051724076271057,287.0,1388.0,2520.0,264.0,27.0
28,0.5429468750953674,0.5856916308403015,0.6193981766700745,0.16127562522888184,0.6424682140350342,0.5289150476455688,0.25782957673072815,0.0,0.16127562522888184,0.9129858613014221,354.0,1841.0,2067.0,197.0,28.0
