epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
16,0.6052926778793335,0.6401485204696655,0.6971863508224487,0.3900432884693146,0.719648540019989,0.5606485605239868,0.5058955550193787,0.9143885374069214,0.39004329004329,0.8366682177757097,901.0,1409.0,1798.0,351.0
17,0.6079838275909424,0.6425063610076904,0.7000248432159424,0.3922675848007202,0.7212460041046143,0.5637667775154114,0.5081598162651062,0.9115263819694519,0.39226759339704603,0.8382012053778396,903.0,1399.0,1808.0,349.0
18,0.6108993291854858,0.6452635526657104,0.7026537656784058,0.3947712481021881,0.7236421704292297,0.5668849349021912,0.510854184627533,0.908942461013794,0.39477124183006534,0.8401109057301294,906.0,1389.0,1818.0,346.0
19,0.6144875288009644,0.6480015516281128,0.7049720287322998,0.3976326286792755,0.72444087266922,0.5715622305870056,0.5134446620941162,0.9064831733703613,0.3976326172731258,0.8415977961432507,907.0,1374.0,1833.0,345.0
20,0.6239067316055298,0.6526020765304565,0.7074973583221436,0.40440845489501953,0.7180511355400085,0.5871530771255493,0.5174100399017334,0.9034364223480225,0.404408457040036,0.842128801431127,899.0,1324.0,1883.0,353.0
21,0.630186140537262,0.6542896032333374,0.709661066532135,0.4086516201496124,0.7092651724815369,0.5993139743804932,0.5185401439666748,0.9007905721664429,0.4086516336861482,0.8407699037620298,888.0,1285.0,1922.0,364.0
22,0.6337743997573853,0.6560537815093994,0.711753249168396,0.411436527967453,0.7068690061569214,0.6052385568618774,0.5201292634010315,0.8986022472381592,0.41143654114365413,0.8409878682842288,885.0,1266.0,1941.0,367.0
23,0.6331015825271606,0.6558294892311096,0.7133551836013794,0.41094619035720825,0.7076677083969116,0.6039912700653076,0.5199530124664307,0.896637499332428,0.4109461966604824,0.8410768562744246,886.0,1270.0,1937.0,366.0
24,0.6310831904411316,0.6578346490859985,0.7149991989135742,0.4103967249393463,0.7188498377799988,0.5968194603919983,0.5224963426589966,0.8953014016151428,0.4103967168262654,0.8446601941747572,900.0,1293.0,1914.0,352.0
25,0.6346714496612549,0.6598422527313232,0.7163358926773071,0.4132535755634308,0.7172523736953735,0.6024321913719177,0.524379551410675,0.8934633731842041,0.4132535664979291,0.8451443569553806,898.0,1275.0,1932.0,354.0
26,0.6429692506790161,0.6646370887756348,0.7176648378372192,0.4201127886772156,0.7140575051307678,0.6152167320251465,0.528994083404541,0.8915033340454102,0.4201127819548872,0.8464178464178465,894.0,1234.0,1973.0,358.0
27,0.6431935429573059,0.6645495891571045,0.7186400890350342,0.4202353060245514,0.7132588028907776,0.6158403754234314,0.5288717746734619,0.8901259899139404,0.42023529411764704,0.8461868037703514,893.0,1232.0,1975.0,359.0
28,0.6496972441673279,0.6673667430877686,0.7198361158370972,0.4255523681640625,0.7076677083969116,0.6270657777786255,0.5314937233924866,0.8883440494537354,0.425552353506244,0.8460244005048381,886.0,1196.0,2011.0,366.0
29,0.6458847522735596,0.6683681011199951,0.7205840349197388,0.42320337891578674,0.719648540019989,0.6170876026153564,0.532978355884552,0.8876720666885376,0.42320338186942225,0.8493562231759657,901.0,1228.0,1979.0,351.0
30,0.6494729518890381,0.6689150333404541,0.7213233113288879,0.4258464574813843,0.7132588028907776,0.6245712637901306,0.5332935452461243,0.8864609599113464,0.4258464473056748,0.8480101608806097,893.0,1204.0,2003.0,359.0
31,0.6505942940711975,0.6692076921463013,0.7220185995101929,0.4267241358757019,0.7116613388061523,0.6267539858818054,0.5335329174995422,0.8853881359100342,0.4267241379310345,0.8477435681147195,891.0,1197.0,2010.0,361.0
32,0.6550796031951904,0.671108603477478,0.7227308750152588,0.4305150508880615,0.7076677083969116,0.6345494389533997,0.5353474020957947,0.8842093348503113,0.4305150631681244,0.8475635152019991,886.0,1172.0,2035.0,366.0
33,0.6555281281471252,0.6709334850311279,0.7234872579574585,0.4307992160320282,0.7060703039169312,0.6357966661453247,0.5351089835166931,0.8832393884658813,0.43079922027290446,0.8471125882841711,884.0,1168.0,2039.0,368.0
34,0.6550796031951904,0.6703782081604004,0.7239758968353271,0.4303118884563446,0.7052715420722961,0.6354848742485046,0.5345036387443542,0.8825429677963257,0.43031189083820665,0.8466971333610304,883.0,1169.0,2038.0,369.0
35,0.6573222875595093,0.6719372868537903,0.7245761156082153,0.43241921067237854,0.7052715420722961,0.6386030316352844,0.5361263155937195,0.8817051649093628,0.4324191968658178,0.8473314025651634,883.0,1159.0,2048.0,369.0
36,0.6579950451850891,0.6716746687889099,0.7250376343727112,0.43285784125328064,0.7028753757476807,0.6404739618301392,0.5357686281204224,0.8810858726501465,0.4328578455484506,0.8466611706512778,880.0,1153.0,2054.0,372.0
37,0.6582193374633789,0.6720740795135498,0.7255868911743164,0.4331366717815399,0.7036741375923157,0.6404739618301392,0.5362142324447632,0.8804250955581665,0.4331366764995084,0.8470103092783505,881.0,1153.0,2054.0,371.0
38,0.6575465202331543,0.6713628768920898,0.7258849143981934,0.4324324429035187,0.7028753757476807,0.6398503184318542,0.5354426503181458,0.8798903822898865,0.43243243243243246,0.8465346534653465,880.0,1155.0,2052.0,372.0
39,0.6636016964912415,0.673137903213501,0.7262955904006958,0.4376257658004761,0.694888174533844,0.6513875722885132,0.5370370149612427,0.8791021704673767,0.43762575452716296,0.8454067179279644,870.0,1118.0,2089.0,382.0
40,0.6597892045974731,0.6731654405593872,0.726775050163269,0.43463245034217834,0.7036741375923157,0.642656683921814,0.5373589396476746,0.8786206245422363,0.4346324617661569,0.8474506578947368,881.0,1146.0,2061.0,371.0
41,0.6613590717315674,0.6730394959449768,0.7271260023117065,0.43582090735435486,0.699680507183075,0.6463984847068787,0.5370938181877136,0.8780310153961182,0.43582089552238806,0.8464679461004492,876.0,1134.0,2073.0,376.0
42,0.662256121635437,0.672202467918396,0.7273094654083252,0.43630892038345337,0.694888174533844,0.6495167016983032,0.5360443592071533,0.8776662945747375,0.436308926780341,0.8450304259634889,870.0,1124.0,2083.0,382.0
43,0.6638259887695312,0.6728068590164185,0.727730393409729,0.4377206265926361,0.6932907104492188,0.6523230671882629,0.5366305708885193,0.8770480155944824,0.437720625315179,0.8449111470113085,868.0,1115.0,2092.0,384.0
44,0.6638259887695312,0.6720765233039856,0.7279995679855347,0.43753162026405334,0.6908945441246033,0.6532585024833679,0.5357695817947388,0.8766554594039917,0.43753161355589276,0.8440773569701854,865.0,1112.0,2095.0,387.0
45,0.6727966070175171,0.6732003688812256,0.7283288836479187,0.44538259506225586,0.6741213798522949,0.672279417514801,0.5363838076591492,0.8760339617729187,0.44538258575197887,0.8408736349453978,844.0,1051.0,2156.0,408.0
46,0.6658443808555603,0.6732362508773804,0.7284973859786987,0.4394710063934326,0.690095841884613,0.6563766598701477,0.5369794368743896,0.8759484887123108,0.43947100712105797,0.8443642198154834,864.0,1102.0,2105.0,388.0
47,0.662480354309082,0.672114908695221,0.7287211418151855,0.4364641010761261,0.6940894722938538,0.6501403450965881,0.5359235405921936,0.8757655024528503,0.43646408839779005,0.8448136142625607,869.0,1122.0,2085.0,383.0
48,0.6656200885772705,0.673080325126648,0.7289331555366516,0.43924757838249207,0.690095841884613,0.6560648679733276,0.5368127226829529,0.8753021359443665,0.43924758515505846,0.8443017656500803,864.0,1103.0,2104.0,388.0
49,0.6674142479896545,0.6704323887825012,0.7292543649673462,0.4400622844696045,0.6773163080215454,0.663548469543457,0.533501148223877,0.8748161196708679,0.44006227296315514,0.8404423380726699,848.0,1079.0,2128.0,404.0
