epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn,epoch
16,0.5642520785331726,0.6119309663772583,0.6620615124702454,0.07768431305885315,0.6652542352676392,0.5586076378822327,0.13912273943424225,0.0,0.07768431305885315,0.9675963521003723,157.0,1864.0,2359.0,79.0,16.0
17,0.6102265119552612,0.6222010850906372,0.6649070978164673,0.08324084430932999,0.6355932354927063,0.6088088750839233,0.14720313251018524,0.0,0.08324084430932999,0.9676325917243958,150.0,1652.0,2571.0,86.0,17.0
18,0.5200717449188232,0.6126092672348022,0.6672379374504089,0.07537912577390671,0.7161017060279846,0.5091167688369751,0.13640032708644867,0.0,0.07537912577390671,0.9697789549827576,169.0,2073.0,2150.0,67.0,18.0
19,0.5891455411911011,0.6190724968910217,0.6733455657958984,0.08088235557079315,0.6525423526763916,0.5856026411056519,0.1439252346754074,0.0,0.08088235557079315,0.9679060578346252,154.0,1750.0,2473.0,82.0,19.0
20,0.6633774638175964,0.6182577610015869,0.6771764755249023,0.08741030842065811,0.5677965879440308,0.6687189936637878,0.15149801969528198,0.0,0.08741030842065811,0.9651401042938232,134.0,1399.0,2824.0,102.0,20.0
21,0.5754653215408325,0.6318526268005371,0.6800591945648193,0.08261964470148087,0.694915235042572,0.5687899589538574,0.14768120646476746,0.0,0.08261964470148087,0.970897376537323,164.0,1821.0,2402.0,72.0,21.0
22,0.6649472713470459,0.6230870485305786,0.6849070191383362,0.08888889104127884,0.5762711763381958,0.6699029803276062,0.15402038395404816,0.0,0.08888889104127884,0.9658586382865906,136.0,1394.0,2829.0,100.0,22.0
23,0.7483741641044617,0.6331274509429932,0.6854432225227356,0.10587188601493835,0.5042372941970825,0.762017548084259,0.17499999701976776,0.0,0.10587188601493835,0.9649174809455872,119.0,1005.0,3218.0,117.0,23.0
24,0.5306122303009033,0.6321756839752197,0.6888578534126282,0.07967405766248703,0.7457626461982727,0.518588662147522,0.14396727085113525,0.0,0.07967405766248703,0.9733333587646484,176.0,2033.0,2190.0,60.0,24.0
25,0.5707557797431946,0.6413676738739014,0.6935035586357117,0.0842418298125267,0.7203390002250671,0.5623964071273804,0.15084294974803925,0.0,0.0842418298125267,0.9729619026184082,170.0,1848.0,2375.0,66.0,25.0
26,0.6425207257270813,0.6492517590522766,0.6973102688789368,0.09292566031217575,0.6567796468734741,0.6417238712310791,0.162815123796463,0.0,0.09292566031217575,0.9709780812263489,155.0,1513.0,2710.0,81.0,26.0
27,0.660237729549408,0.6366026401519775,0.6993020176887512,0.09189534187316895,0.6101694703102112,0.6630357503890991,0.15973377227783203,0.0,0.09189534187316895,0.9681881070137024,144.0,1423.0,2800.0,92.0,27.0
28,0.67728191614151,0.6496014595031738,0.7021496295928955,0.09765886515378952,0.6186440587043762,0.6805588603019714,0.1686886101961136,0.0,0.09765886515378952,0.9696356654167175,146.0,1349.0,2874.0,90.0,28.0
